Supplementary Table S4. Relative enrichment of proteins in vesicles vs. parent cells. Ratios are based on biovolume-normalized protein spectral counts from Trypsin/Lys-C based proteomes only (data from Supplementary Table S2).,,,,,,,,
,,,,,,,,
Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts)
MIT9313,Q7V8F7,Q7V8F7_PROMM Possible nitrilase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0395 PE=4 SV=1,hydrolase,Cytoplasm,S,3.89E-08,2.20E-10,-7.463535822
MIT9312,Q31AP1,"Q31AP1_PROM9 Helix-hairpin-helix DNA-binding, class 1 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0994 PE=4 SV=1",DNA-binding protein,Unknown,S,7.05E-08,3.92E-10,-7.490640109
MIT9312,Q31AJ2,Q31AJ2_PROM9 Cobalamin synthesis protein/P47K OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1044 PE=4 SV=1,cobalamin biosynthesis protein CobW,Cytoplasm,S,2.36E-08,1.31E-10,-7.496663896
MIT9312,Q318N5,EFTU_PROM9 Elongation factor Tu OS=Prochlorococcus marinus (strain MIT 9312) GN=tuf PE=3 SV=1,elongation factor Tu,Cytoplasm,J,4.74E-07,2.61E-09,-7.50296192
MIT9313,Q7TUZ8,RS18_PROMM 30S ribosomal protein S18 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsR PE=3 SV=1,30S ribosomal protein S18,Cytoplasm,J,1.62E-07,8.82E-10,-7.517983605
MIT9312,Q31AU1,Q31AU1_PROM9 Thioredoxin peroxidase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0944 PE=4 SV=1,peroxiredoxin,Cytoplasm,O,2.19E-07,1.18E-09,-7.5420292
MIT9313,Q7V5R4,Q7V5R4_PROMM Nitrogen regulatory protein P-II OS=Prochlorococcus marinus (strain MIT 9313) GN=glnB PE=3 SV=1,nitrogen regulatory protein P-II,Inner membrane,E,4.52E-07,2.42E-09,-7.542069224
MIT9313,Q7V7D2,TPIS_PROMM Triosephosphate isomerase OS=Prochlorococcus marinus (strain MIT 9313) GN=tpiA PE=3 SV=1,triose-phosphate isomerase,Cytoplasm,G,8.23E-08,4.41E-10,-7.544455817
MIT9313,Q7V659,Q7V659_PROMM Photosystem I PsaF protein (Subunit III) OS=Prochlorococcus marinus (strain MIT 9313) GN=psaF PE=4 SV=1,photosystem I PsaF protein (subunit III),Thylakoid membrane,M,1.26E-07,6.61E-10,-7.579013039
MIT9313,Q7V7H5,Q7V7H5_PROMM Possible modulator of DNA gyrase OS=Prochlorococcus marinus (strain MIT 9313) GN=pmbA PE=4 SV=1,modulator of DNA gyrase,Unknown,L,8.68E-08,4.41E-10,-7.621077098
MIT9313,Q7V981,Q7V981_PROMM Possible transporter component OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0076 PE=4 SV=1,hemolysin D,Unknown,V,4.34E-08,2.20E-10,-7.621077098
MIT9312,Q319J6,Q319J6_PROM9 Peptidyl-prolyl cis-trans isomerase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1389 PE=3 SV=1,peptidyl-prolyl cis-trans isomerase,Periplasm,O,1.29E-07,6.54E-10,-7.627594766
MIT9313,Q7V6K8,Q7V6K8_PROMM Type I antifreeze protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1149 PE=4 SV=1,type I antifreeze protein,Unknown,S,1.31E-07,6.61E-10,-7.629344714
MIT9313,Q7V6B8,TAL_PROMM Transaldolase OS=Prochlorococcus marinus (strain MIT 9313) GN=tal PE=3 SV=1,transaldolase,Cytoplasm,G,8.75E-08,4.41E-10,-7.633460823
MIT9313,Q7V5S8,ATPG_PROMM ATP synthase gamma chain OS=Prochlorococcus marinus (strain MIT 9313) GN=atpG PE=3 SV=1,ATP synthase subunit gamma,Thylakoid membrane,C,8.83E-08,4.41E-10,-7.645739153
MIT9313,Q7TV16,ILVD_PROMM Dihydroxy-acid dehydratase OS=Prochlorococcus marinus (strain MIT 9313) GN=ilvD PE=3 SV=1,dihydroxy-acid dehydratase,Cytoplasm,E,1.33E-07,6.61E-10,-7.653867034
MIT9313,Q7V695,Q7V695_PROMM Putative inorganic pyrophosphatase OS=Prochlorococcus marinus (strain MIT 9313) GN=ppa PE=4 SV=1,inorganic pyrophosphatase,Cytoplasm,C,1.35E-07,6.61E-10,-7.669986699
MIT9313,Q7V530,RL18_PROMM 50S ribosomal protein L18 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplR PE=3 SV=1,50S ribosomal protein L18,Cytoplasm,J,1.36E-07,6.61E-10,-7.685928242
MIT9312,Q31C65,Q31C65_PROM9 Photosystem I PsaF protein (Subunit III) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0469 PE=4 SV=1,photosystem I PsaF protein (subunit III),Thylakoid membrane,M,1.09E-07,5.23E-10,-7.706117262
MIT9312,Q318N4,EFG_PROM9 Elongation factor G OS=Prochlorococcus marinus (strain MIT 9312) GN=fusA PE=3 SV=1,elongation factor G,Cytoplasm,J,1.67E-07,7.84E-10,-7.734431543
MIT9313,Q7V9C5,Y025_PROMM Nucleoid-associated protein PMT_0025 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0025 PE=3 SV=1,nucleoid-associated protein,Cytoplasm,S,4.71E-08,2.20E-10,-7.740376027
MIT9313,Q7TUS4,CH602_PROMM 60 kDa chaperonin 2 OS=Prochlorococcus marinus (strain MIT 9313) GN=groL2 PE=3 SV=1,hypothetical protein,Cytoplasm,O,2.98E-06,1.39E-08,-7.74364374
MIT9312,Q31DA5,Q31DA5_PROM9 Phosphoglucomutase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0079 PE=3 SV=1,alpha-D-glucose phosphate-specific phosphoglucomutase,Extracellular,G,2.83E-08,1.31E-10,-7.759698301
MIT9313,Q7V6G0,Q7V6G0_PROMM Carboxysome shell protein CsoS2 OS=Prochlorococcus marinus (strain MIT 9313) GN=csoS2 PE=4 SV=1,carboxysome shell protein,Unknown,S,3.35E-07,1.54E-09,-7.763096104
MIT9312,Q317T7,Q317T7_PROM9 Chaperone protein DnaK OS=Prochlorococcus marinus (strain MIT 9312) GN=dnaK PE=2 SV=1,chaperone protein dnaK2,Cytoplasm,O,2.56E-07,1.18E-09,-7.764698983
MIT9312,Q31CD5,Q31CD5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0399 PE=4 SV=1,hypothetical protein,Unknown,S,2.86E-08,1.31E-10,-7.774648643
MIT9312,Q319Y0,Q319Y0_PROM9 Photosystem II D2 protein OS=Prochlorococcus marinus (strain MIT 9312) GN=psbD PE=3 SV=1,photosystem II D2 protein (photosystem q(a) protein),Thylakoid membrane,C,5.79E-08,2.61E-10,-7.789445645
MIT9313,Q7TV66,PSBU_PROMM Photosystem II 12 kDa extrinsic protein OS=Prochlorococcus marinus (strain MIT 9313) GN=psbU PE=3 SV=1,photosystem II complex extrinsic protein precursor U,Thylakoid membrane,C,1.22E-06,5.51E-09,-7.793432181
MIT9313,Q7V836,"Q7V836_PROMM Fructose-bisphosphate/sedoheptulose-1,7-bisphosph ate aldolase OS=Prochlorococcus marinus (strain MIT 9313) GN=cbbA,cfxA,fbaA,fda PE=3 SV=1",fructose-1%2C6-bisphosphate aldolase,Cytoplasm,G,5.07E-07,2.20E-09,-7.844180032
MIT9312,Q31BY0,Q31BY0_PROM9 Putative carboxysome peptide A OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0554 PE=4 SV=1,carboxysome peptide A,Unknown,S,3.01E-08,1.31E-10,-7.847161143
MIT9312,Q31DG1,Q31DG1_PROM9 Glyceraldehyde-3-phosphate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0023 PE=3 SV=1,type I glyceraldehyde-3-phosphate dehydrogenase,Cytoplasm,G,1.22E-07,5.23E-10,-7.871703328
MIT9312,Q319U9,Q319U9_PROM9 Putative inner membrane protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1287 PE=3 SV=1,protein translocase component YidC,Inner membrane,U,6.20E-08,2.61E-10,-7.888981319
MIT9313,Q7V503,RS12_PROMM 30S ribosomal protein S12 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsL PE=3 SV=1,30S ribosomal protein S12,Cytoplasm,J,5.24E-08,2.20E-10,-7.89237912
MIT9313,Q7V448,Q7V448_PROMM Possible Aldo/keto reductase family OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2121 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,1.59E-07,6.61E-10,-7.912843222
MIT9313,Q7V9B1,Q7V9B1_PROMM Soluble hydrogenase small subunit OS=Prochlorococcus marinus (strain MIT 9313) GN=DHSS PE=3 SV=1,class V aminotransferase,Cytoplasm,E,1.07E-07,4.41E-10,-7.922967439
MIT9312,Q31AL4,Q31AL4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1021 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,3.31E-08,1.31E-10,-7.982090723
MIT9313,B9ESQ2,B9ESQ2_PROMM Rubredoxin OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2883 PE=3 SV=1,NA,Cytoplasm,S,5.61E-08,2.20E-10,-7.991914794
MIT9312,Q318D4,PSAC_PROM9 Photosystem I iron-sulfur center OS=Prochlorococcus marinus (strain MIT 9312) GN=psaC PE=3 SV=1,photosystem I iron-sulfur center,Thylakoid membrane,C,1.35E-07,5.23E-10,-8.013939589
MIT9313,Q7V5U0,RRP3_PROMM Probable 30S ribosomal protein PSRP-3 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1454 PE=3 SV=2,30S ribosomal protein Ycf65,Cytoplasm,J,5.84E-08,2.20E-10,-8.048498322
MIT9313,Q7V4Y5,Q7V4Y5_PROMM ATP-sulfurylase OS=Prochlorococcus marinus (strain MIT 9313) GN=cysD PE=4 SV=1,sulfate adenylyltransferase,Cytoplasm,P,5.84E-08,2.20E-10,-8.048498322
MIT9313,Q7V5V8,Q7V5V8_PROMM D-3-phosphoglycerate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=serA PE=3 SV=1,phosphoglycerate dehydrogenase,Cytoplasm,E,1.18E-07,4.41E-10,-8.066876851
MIT9313,Q7V4Y4,Q7V4Y4_PROMM Photosystem II manganese-stabilizing protein OS=Prochlorococcus marinus (strain MIT 9313) GN=psbO PE=4 SV=1,photosystem II manganese-stabilizing protein,Thylakoid membrane,M,2.31E-06,8.16E-09,-8.146566893
MIT9312,Q319D3,Q319D3_PROM9 D-3-phosphoglycerate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1452 PE=3 SV=1,phosphoglycerate dehydrogenase,Cytoplasm,E,4.13E-08,1.31E-10,-8.304018818
MIT9313,Q7V989,Q7V989_PROMM Ribonuclease J OS=Prochlorococcus marinus (strain MIT 9313) GN=rnj PE=3 SV=1,ribonuclease J,Cytoplasm,S,1.50E-07,4.41E-10,-8.406952293
MIT9313,Q7TUU8,Q7TUU8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1186 PE=4 SV=1,peroxiredoxin,Unknown,O,8.15E-08,2.20E-10,-8.531280428
MIT9313,Q7V512,Q7V512_PROMM Photosystem I PsaL protein (Subunit XI) OS=Prochlorococcus marinus (strain MIT 9313) GN=psaL PE=4 SV=1,hypothetical protein,Thylakoid membrane,C,2.50E-07,6.61E-10,-8.561837895
MIT9313,Q7V917,Q7V917_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0148 PE=4 SV=1,hypothetical protein,Unknown,S,8.53E-08,2.20E-10,-8.595986118
MIT9313,Q7V7Q3,DXS_PROMM 1-deoxy-D-xylulose-5-phosphate synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=dxs PE=3 SV=1,1-deoxy-D-xylulose-5-phosphate synthase,Cytoplasm,H,9.05E-08,2.20E-10,-8.681959341
MIT9313,Q7V478,RL1_PROMM 50S ribosomal protein L1 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplA PE=3 SV=1,50S ribosomal protein L1,Cytoplasm,J,1.95E-07,4.41E-10,-8.785463916
MIT9312,Q318V5,CH10_PROM9 10 kDa chaperonin OS=Prochlorococcus marinus (strain MIT 9312) GN=groS PE=3 SV=1,co-chaperone GroES,Cytoplasm,O,2.96E-07,6.54E-10,-8.822913597
MIT9313,Q7TUW7,Q7TUW7_PROMM Possible Glyceraldehyde 3-phosphate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1045 PE=4 SV=1,glyceraldehyde-3-phosphate dehydrogenase,Inner membrane,S,1.01E-07,2.20E-10,-8.8399117
MIT9312,Q31AF0,Q31AF0_PROM9 Ferredoxin-NADP oxidoreductase (FNR) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1086 PE=4 SV=1,ferredoxin--NADP(+) reductase,Inner membrane,C,1.25E-07,2.61E-10,-8.899249655
MIT9313,Q7V899,Q7V899_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0464 PE=4 SV=1,AbrB family transciptional regulator,Unknown,K,4.26E-07,8.82E-10,-8.915380945
MIT9313,Q7V502,RS7_PROMM 30S ribosomal protein S7 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsG PE=3 SV=1,30S ribosomal protein S7,Cytoplasm,J,2.14E-07,4.41E-10,-8.92296744
MIT9312,Q31CY0,RL7_PROM9 50S ribosomal protein L7/L12 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplL PE=3 SV=1,50S ribosomal protein L7/L12,Unknown,J,1.91E-07,3.92E-10,-8.929623304
MIT9313,Q7V8G1,Q7V8G1_PROMM Acetyl-coenzyme A synthetase OS=Prochlorococcus marinus (strain MIT 9313) GN=acs PE=3 SV=1,acetyl-coenzyme A synthetase,Cytoplasm,I,1.11E-07,2.20E-10,-8.972549469
MIT9312,Q318U1,ATPA_PROM9 ATP synthase subunit alpha OS=Prochlorococcus marinus (strain MIT 9312) GN=atpA PE=3 SV=1,ATP synthase subunit alpha,Thylakoid membrane,C,2.27E-07,3.92E-10,-9.178487936
MIT9312,Q31BB0,"FBSB_PROM9 D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0775 PE=3 SV=2",fructose 1%2C6-bisphosphatase,Cytoplasm,G,2.43E-07,3.92E-10,-9.272767884
MIT9313,Q7V564,Q7V564_PROMM Photosystem I protein PsaD OS=Prochlorococcus marinus (strain MIT 9313) GN=psaD PE=4 SV=1,photosystem I protein PsaD,Inner membrane,H,1.42E-06,2.20E-09,-9.329150142
MIT9312,Q318Q7,RPOB_PROM9 DNA-directed RNA polymerase subunit beta OS=Prochlorococcus marinus (strain MIT 9312) GN=rpoB PE=3 SV=1,DNA-directed RNA polymerase subunit beta,Cytoplasm,K,1.69E-07,2.61E-10,-9.337127129
MIT9313,Q7V841,Q7V841_PROMM Phosphoribulokinase OS=Prochlorococcus marinus (strain MIT 9313) GN=cbbP PE=3 SV=1,phosphoribulokinase,Cytoplasm,C,2.86E-07,4.41E-10,-9.340524931
MIT9312,Q319I0,Q319I0_PROM9 Cell division protein FtsZ OS=Prochlorococcus marinus (strain MIT 9312) GN=ftsZ PE=3 SV=1,cell division protein FtsZ,Cytoplasm,D,1.77E-07,2.61E-10,-9.403554491
MIT9312,Q318G4,Q318G4_PROM9 Photosystem I protein PsaD OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1670 PE=4 SV=1,photosystem I protein PsaD,Inner membrane,H,2.18E-07,2.61E-10,-9.702212807
MIT9312,Q31CV5,Q31CV5_PROM9 ATP-dependent zinc metalloprotease FtsH OS=Prochlorococcus marinus (strain MIT 9312) GN=ftsH PE=3 SV=1,cell division protein FtsH,Inner membrane,O,1.13E-07,1.31E-10,-9.755936383
MIT9312,Q31AG4,Q31AG4_PROM9 Thioredoxin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1072 PE=3 SV=1,thiol reductase thioredoxin,Cytoplasm,O,1.20E-07,1.31E-10,-9.847161143
MIT9312,Q318D1,Q318D1_PROM9 Transketolase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1703 PE=3 SV=1,transketolase,Cytoplasm,G,3.82E-07,3.92E-10,-9.92627986
MIT9313,Q7V6I0,PSBD_PROMM Photosystem II D2 protein OS=Prochlorococcus marinus (strain MIT 9313) GN=psbD PE=3 SV=1,photosystem II D2 protein,Thylakoid membrane,C,2.21E-07,2.20E-10,-9.967667248
MIT9312,Q319G6,Q319G6_PROM9 Bacterial nucleoid protein Hbs OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1419 PE=3 SV=1,DNA-binding protein,Cytoplasm,L,1.67E-07,1.31E-10,-10.31939404
MIT9313,Q7TUU3,Q7TUU3_PROMM Photosystem II lipoprotein Psb27 OS=Prochlorococcus marinus (strain MIT 9313) GN=psb27 PE=3 SV=1,photosystem II protein Psb27,Thylakoid membrane,M,3.97E-07,2.20E-10,-10.81566415
MIT9313,Q7V8Y4,PSAE_PROMM Photosystem I reaction center subunit IV OS=Prochlorococcus marinus (strain MIT 9313) GN=psaE PE=3 SV=1,photosystem I reaction center subunit IV,Thylakoid membrane,S,8.10E-07,4.41E-10,-10.84391363
